leaid,statename,lea_name,operational_schools,totalexp_1617,expps_1617,ell_1617_pct,Total_Enrollment,District_Locale,American_Indian_pct,Asian_pct,Black_or_African_American_pct,Hispanic_or_Latino_pct,Hawaiian_pct,Not_Specified_pct,Multi_Racial_pct,White_pct
100005,ALABAMA,Albertville City,6.0,50456000.0,8316.1377,0.15586561,5636.0,2.0,0.23066004258339248,0.44357700496806246,3.7260468417317245,49.893541518807666,0.053229240596167494,0.0,2.7501774308019873,42.902767920511
100006,ALABAMA,Marshall County,15.0,59341000.0,9624.582,0.05785124,5652.0,4.0,0.389242745930644,0.3184713375796178,1.0969568294409058,23.991507430997878,0.035385704175513094,0.0,1.4331210191082802,72.73531493276717
100007,ALABAMA,Hoover City,17.0,165480000.0,10755.561000000002,0.043191275999999994,13952.0,1.0,0.0716743119266055,6.952408256880734,24.48394495412844,7.8985091743119265,0.06450688073394495,0.0,5.196387614678899,55.33256880733945
100008,ALABAMA,Madison City,11.0,105184000.0,9340.2295,0.027873562999999997,11290.0,3.0,0.6023029229406555,8.441098317094774,19.140832595217006,6.8379096545615585,0.3365810451727192,0.0,4.853852967227635,59.78742249778565
100011,ALABAMA,Leeds City,4.0,22552000.0,9616.8271,0.04865686599999999,1950.0,3.0,0.15384615384615385,1.0256410256410255,20.46153846153846,14.153846153846153,0.05128205128205128,0.0,1.2307692307692308,62.92307692307692
100012,ALABAMA,Boaz City,5.0,22667000.0,8983.6748,0.074926749,2427.0,2.0,0.49443757725587145,0.45323444581788214,2.4721878862793574,35.31108364235682,0.8240626287597858,0.0,1.6481252575195715,58.796868562010715
100013,ALABAMA,Trussville City,5.0,49256000.0,9857.2373,0.00462657,4693.0,3.0,0.2770083102493075,2.1521414873215425,12.63584061367995,1.9390581717451523,0.021308331557639035,0.0,2.407841466013211,80.56680161943319
100030,ALABAMA,Alexander City,5.0,30994000.0,9334.2061,0.019639935,3065.0,2.0,0.8156606851549756,1.2071778140293639,41.305057096247964,1.598694942903752,0.35889070146818924,0.0,0.13050570962479607,54.58401305057096
100060,ALABAMA,Andalusia City,3.0,16904000.0,8891.6289,0.007454129,1794.0,2.0,0.2787068004459309,1.4492753623188406,29.041248606466,2.508361204013378,0.055741360089186176,0.0,2.118171683389075,64.54849498327759
100090,ALABAMA,Anniston City,7.0,23842000.0,11343.161,0.009183181,1947.0,1.0,0.0,0.25680534155110424,89.11145351823318,4.725218284540318,0.1027221366204417,0.0,0.9244992295839753,4.879301489470981
100100,ALABAMA,Arab City,4.0,27128000.0,9161.5625,0.006125575,2632.0,4.0,0.41793313069908816,1.0258358662613982,0.45592705167173253,2.9635258358662613,0.1899696048632219,0.0,0.9878419452887538,93.95896656534954
100120,ALABAMA,Athens City,8.0,70597000.0,8274.6523,0.057439718,4284.0,2.0,0.676937441643324,1.1671335200746966,17.973856209150327,17.670401493930907,0.5368814192343604,0.0,5.648926237161532,56.32586367880486
100180,ALABAMA,Attalla City,3.0,20767000.0,9405.3379,0.022346368,1526.0,3.0,0.1965923984272608,0.32765399737876805,17.03800786369594,8.781127129750983,0.1310615989515072,0.0,3.0799475753604195,70.44560943643512
100185,ALABAMA,Saraland City,4.0,35594000.0,14877.498913368816,0.01044278193173076,3114.0,3.0,1.123956326268465,1.4450867052023122,16.730892742453435,2.5369299935773926,0.12845215157353887,0.0,4.431599229287091,73.60308285163777
100188,ALABAMA,Chickasaw City,3.0,10236000.0,15464.899427118416,0.03752947204599896,1154.0,3.0,0.25996533795493937,0.5199306759098787,68.19757365684575,3.2062391681109186,0.08665511265164645,0.0,2.7729636048526864,24.956672443674176
100189,ALABAMA,Satsuma City,2.0,13798000.0,9146.7891,0.002117149,1533.0,3.0,2.2831050228310503,1.304631441617743,9.915198956294846,1.2393998695368558,0.1304631441617743,0.0,1.5655577299412915,83.56164383561644
100190,ALABAMA,Alabaster City,6.0,123851000.0,10061.171,0.056754988,6184.0,3.0,0.19404915912031048,1.277490297542044,20.310478654592497,19.16235446313066,0.14553686934023286,0.0,2.846054333764554,56.0640362225097
100194,ALABAMA,Pelham City,4.0,54819000.0,10170.386999999999,0.10531279,3306.0,3.0,0.3629764065335753,2.9945553539019962,14.670296430732002,29.58257713248639,0.0,0.0,3.569267997580157,48.82032667876588
100195,ALABAMA,Pike Road City,3.0,10965000.0,14846.762255788319,0.047511715256022116,1863.0,4.0,0.05367686527106817,5.904455179817498,29.683306494900698,7.890499194847021,0.0,0.0,3.113258185721954,53.35480407944176
100197,ALABAMA,Acceleration Day and Evening Academy,1.0,554000.0,15568.742713009378,0.040256906895083266,300.0,1.0,1.0,1.0,76.66666666666667,1.6666666666666667,0.3333333333333333,0.0,1.0,18.333333333333332
100199,ALABAMA,University Charter School,1.0,5612300.2091278955,15773.171670334044,0.022095858474520086,298.0,4.0,0.0,1.0067114093959733,51.34228187919463,0.0,0.0,0.0,2.0134228187919465,45.63758389261745
100210,ALABAMA,Auburn City,13.0,120875000.0,9643.334,0.015217137,8738.0,1.0,0.03433279926756695,11.100938429846646,23.300526436255435,5.252918287937743,0.011444266422522316,0.0,2.3346303501945527,57.96520943007553
100240,ALABAMA,Autauga County,15.0,81933000.0,8118.8354,0.011174385,9094.0,4.0,0.3298878381350341,2.2432372993182317,25.92918407741368,3.694743787112382,0.07697382889817463,0.0,2.276226083131735,65.44974708599077
