leaid,locale,locale2
0100002,21,Suburban
0100005,32,Town
0100006,42,Rural
0100007,13,City
0100008,21,Suburban
0100009,32,Town
0100011,21,Suburban
0100012,32,Town
0100013,21,Suburban
0100015,12,City
0100016,12,City
0100018,12,City
0100019,41,Rural
0100020,31,Town
0100021,12,City
0100022,42,Rural
0100023,21,Suburban
0100024,41,Rural
0100026,41,Rural
0100028,41,Rural
0100030,32,Town
0100033,41,Rural
0100035,42,Rural
0100036,13,City
0100037,12,City
0100038,42,Rural
0100039,32,Town
0100040,12,City
0100041,21,Suburban
0100042,13,City
0100043,13,City
0100044,12,City
0100060,33,Town
0100090,13,City
0100100,41,Rural
0100120,31,Town
0100175,12,City
0100176,21,Suburban
0100178,12,City
0100179,41,Rural
0100180,23,Suburban
0100181,32,Town
0100183,12,City
0100184,13,City
0100185,21,Suburban
0100186,12,City
0100187,12,City
0100188,21,Suburban
0100189,21,Suburban
0100190,21,Suburban
0100191,12,City
0100192,41,Rural
0100193,12,City
0100194,21,Suburban
0100195,41,Rural
0100197,12,City
0100198,12,City
0100199,43,Rural
0100200,13,City
0100210,13,City
0100240,41,Rural
0100270,41,Rural
0100300,43,Rural
0100330,21,Suburban
0100360,32,Town
0100390,12,City
0100420,42,Rural
0100450,32,Town
0100480,32,Town
0100510,32,Town
0100540,41,Rural
0100600,32,Town
0100630,42,Rural
0100660,42,Rural
0100690,43,Rural
0100720,43,Rural
0100750,42,Rural
0100780,42,Rural
0100810,42,Rural
0100840,41,Rural
0100870,41,Rural
0100900,43,Rural
0100930,42,Rural
0100960,43,Rural
0100990,32,Town
0101020,42,Rural
0101050,42,Rural
0101080,32,Town
0101110,42,Rural
0101140,42,Rural
0101170,13,City
0101200,33,Town
0101230,13,City
0101260,43,Rural
0101290,21,Suburban
0101320,32,Town
0101350,32,Town
0101380,23,Suburban
0101410,32,Town
0101440,21,Suburban
0101470,42,Rural
0101530,13,City
0101560,32,Town
0101590,42,Rural
0101620,13,City
0101640,32,Town
0101660,42,Rural
0101680,42,Rural
0101690,32,Town
0101710,31,Town
0101720,41,Rural
0101730,23,Suburban
0101740,42,Rural
0101760,21,Suburban
0101770,41,Rural
0101800,12,City
0101830,42,Rural
0101860,13,City
0101890,32,Town
0101920,21,Suburban
0101950,43,Rural
0101980,32,Town
0102010,42,Rural
0102040,42,Rural
0102070,21,Suburban
0102100,42,Rural
0102130,43,Rural
0102160,42,Rural
0102190,32,Town
0102220,21,Suburban
0102250,43,Rural
0102310,43,Rural
0102350,21,Suburban
0102370,12,City
0102400,43,Rural
0102430,12,City
0102480,42,Rural
